City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,coahuayana de hidalgo,18.7,-103.6583,305.97,52,63,2.39,MX,1699903969
185,vallenar,-28.5708,-70.7581,298.48,18,0,4.56,CL,1699903969
186,aleppo,36.25,37.5,292.29,52,100,1.87,SY,1699903970
187,port moresby,-9.4431,147.1797,294.83,100,75,1.54,PG,1699903970
188,kenora,49.8167,-94.4337,277.69,65,75,3.6,CA,1699903793
189,punta arenas,-53.15,-70.9167,281.21,49,20,13.38,CL,1699903939
190,turinsk,58.0458,63.696,275.18,92,100,4.52,RU,1699903972
191,latina,41.45,13.1,289.9,90,14,2.68,IT,1699903972
192,keflavik,64.0049,-22.5624,279.1,56,0,11.83,IS,1699903972
193,codrington,-38.2667,141.9667,285.05,79,100,3.25,AU,1699903973
194,ad dilam,23.9915,47.1627,298.38,39,100,3.34,SA,1699903973
195,kincardine,56.0667,-3.7167,281.99,94,100,3.17,GB,1699903974
196,puerto madero,14.7208,-92.4215,306.26,75,20,5.14,MX,1699903974
197,west hattiesburg,31.3191,-89.3751,289.15,95,100,2.06,US,1699903755
198,west island,-12.1568,96.8225,299.14,78,100,4.12,CC,1699903975
199,hami,42.8,93.45,275.87,33,100,4.13,CN,1699903976
200,macaubas,-13.0194,-42.6986,308.74,17,3,2.06,BR,1699903976
201,vorgashor,67.5833,63.95,254.63,99,93,2.74,RU,1699903977
202,galliano,29.4422,-90.2992,291.15,88,100,5.66,US,1699903977
203,tipasa,36.5897,2.4475,292.01,63,9,2.04,DZ,1699903863
204,kone,-21.0595,164.8658,295.23,59,0,1.99,NC,1699903978
205,jiwani,25.05,61.7417,299.08,56,19,3.89,PK,1699903979
206,kiruna,67.8557,20.2251,246.66,76,12,0.0,SE,1699903980
207,ha'il,27.5219,41.6907,296.16,43,20,0.0,SA,1699903980
208,valenca do piaui,-6.4075,-41.7456,310.5,16,5,3.4,BR,1699903981
209,newport,51.5877,-2.9984,286.73,88,45,12.62,GB,1699903982
210,sabha,27.0377,14.4283,294.31,43,0,4.45,LY,1699903982
211,ketchikan,55.3422,-131.6461,279.41,65,0,5.14,US,1699903983
212,zahedan,29.4963,60.8629,284.1,46,0,3.09,IR,1699903984
213,college,64.8569,-147.8028,268.75,91,100,1.54,US,1699903984
214,kokopo,-4.352,152.2633,297.7,84,100,3.69,PG,1699903985
215,tazovsky,67.4667,78.7,256.99,89,6,6.03,RU,1699903986
216,neijiang,29.5835,105.0622,284.3,82,100,1.52,CN,1699903811
217,ebon,4.582,168.6964,301.16,73,100,0.67,MH,1699903987
218,bafata,12.1667,-14.75,300.9,34,31,1.62,GW,1699903988
219,plettenberg bay,-34.0527,23.3716,289.38,79,76,5.59,ZA,1699903988
220,cherrapunji,25.3,91.7,285.28,59,5,2.18,IN,1699903989
